"Current","Previous","Estimate","Error"
"Arizona","West Virginia",70,118
"Arkansas","West Virginia",24,45
"California","West Virginia",832,463
"Colorado","West Virginia",412,490
"Connecticut","West Virginia",46,77
"Delaware","West Virginia",198,174
"District of Columbia ","West Virginia",120,138
"Florida","West Virginia",4964,2202
"Georgia","West Virginia",1340,778
"Hawaii","West Virginia",312,306
"Idaho","West Virginia",0,195
"Illinois","West Virginia",352,288
"Indiana","West Virginia",216,194
"Iowa","West Virginia",115,181
"Kansas","West Virginia",0,168
"Kentucky","West Virginia",1174,566
"Louisiana","West Virginia",110,123
"Maine","West Virginia",43,73
"Maryland","West Virginia",2027,859
"Massachusetts","West Virginia",911,855
"Michigan","West Virginia",417,301
"Minnesota","West Virginia",92,98
"Mississippi","West Virginia",303,411
"Missouri","West Virginia",196,214
"Montana","West Virginia",14,28
"Nebraska","West Virginia",24,40
"Nevada","West Virginia",0,234
"New Hampshire","West Virginia",0,184
"New Jersey","West Virginia",1252,1293
"New Mexico","West Virginia",0,198
"New York","West Virginia",631,470
"North Carolina","West Virginia",2780,1517
"North Dakota","West Virginia",0,143
"Ohio","West Virginia",7548,1866
"Oklahoma","West Virginia",44,68
"Oregon","West Virginia",66,115
"Pennsylvania","West Virginia",4631,1483
"Rhode Island","West Virginia",199,253
"South Carolina","West Virginia",1680,1114
"South Dakota","West Virginia",0,155
"Tennessee","West Virginia",1385,764
"Texas","West Virginia",663,563
"Utah","West Virginia",270,268
"Vermont","West Virginia",53,81
"Virginia","West Virginia",9041,2596
"Washington","West Virginia",157,186
"West Virginia","West Virginia","N/A","N/A"
"Wisconsin","West Virginia",1090,1630
"Wyoming","West Virginia",0,189
"Puerto Rico","West Virginia",14,25
"Alabama","Wisconsin",417,457
"Alaska","Wisconsin",23,35
"Arizona","Wisconsin",6473,2066
"Arkansas","Wisconsin",687,632
"California","Wisconsin",5668,1495
"Colorado","Wisconsin",3995,1774
"Connecticut","Wisconsin",660,898
"Delaware","Wisconsin",55,96
"District of Columbia ","Wisconsin",946,668
"Florida","Wisconsin",7412,2467
"Georgia","Wisconsin",2727,1401
"Hawaii","Wisconsin",147,159
"Idaho","Wisconsin",165,174
"Illinois","Wisconsin",14507,2936
"Indiana","Wisconsin",2923,1307
"Iowa","Wisconsin",2537,850
"Kansas","Wisconsin",893,575
"Kentucky","Wisconsin",581,414
"Louisiana","Wisconsin",339,372
"Maine","Wisconsin",321,408
"Maryland","Wisconsin",353,514
"Massachusetts","Wisconsin",441,311
"Michigan","Wisconsin",4018,1002
"Minnesota","Wisconsin",19255,2960
"Mississippi","Wisconsin",1136,1061
"Missouri","Wisconsin",1503,671
"Montana","Wisconsin",146,184
"Nebraska","Wisconsin",560,427
"Nevada","Wisconsin",2672,2369
"New Hampshire","Wisconsin",0,184
"New Jersey","Wisconsin",214,259
"New Mexico","Wisconsin",340,342
"New York","Wisconsin",1878,1014
"North Carolina","Wisconsin",2291,1192
"North Dakota","Wisconsin",1398,601
"Ohio","Wisconsin",2534,1620
"Oklahoma","Wisconsin",942,474
"Oregon","Wisconsin",914,697
"Pennsylvania","Wisconsin",2426,1046
"Rhode Island","Wisconsin",2,5
"South Carolina","Wisconsin",341,291
"South Dakota","Wisconsin",481,594
"Tennessee","Wisconsin",1213,631
"Texas","Wisconsin",5982,2396
"Utah","Wisconsin",158,153
"Vermont","Wisconsin",137,115
"Virginia","Wisconsin",858,745
"Washington","Wisconsin",1491,892
"West Virginia","Wisconsin",42,69
"Wisconsin","Wisconsin","N/A","N/A"
"Wyoming","Wisconsin",168,260
"Puerto Rico","Wisconsin",229,373
"Alabama","Wyoming",9,15
"Alaska","Wyoming",246,272
"Arizona","Wyoming",2510,1288
"Arkansas","Wyoming",252,399
"California","Wyoming",2047,1810
"Colorado","Wyoming",2942,923
"Connecticut","Wyoming",65,110
"Delaware","Wyoming",463,527
"District of Columbia ","Wyoming",0,200
"Florida","Wyoming",846,725
"Georgia","Wyoming",504,775
"Hawaii","Wyoming",14,23
"Idaho","Wyoming",487,340
"Illinois","Wyoming",58,76
"Indiana","Wyoming",117,170
"Iowa","Wyoming",140,117
"Kansas","Wyoming",1285,791
"Kentucky","Wyoming",57,93
"Louisiana","Wyoming",357,541
"Maine","Wyoming",21,37
"Maryland","Wyoming",80,132
"Massachusetts","Wyoming",0,204
"Michigan","Wyoming",841,655
"Minnesota","Wyoming",224,178
"Mississippi","Wyoming",0,206
"Missouri","Wyoming",1120,900
"Montana","Wyoming",2413,1709
"Nebraska","Wyoming",965,421
"Nevada","Wyoming",933,702
"New Hampshire","Wyoming",162,218
"New Jersey","Wyoming",15,29
"New Mexico","Wyoming",283,313
"New York","Wyoming",688,645
"North Carolina","Wyoming",153,228
"North Dakota","Wyoming",139,102
"Ohio","Wyoming",1280,793
"Oklahoma","Wyoming",1763,1572
"Oregon","Wyoming",914,880
"Pennsylvania","Wyoming",195,237
"Rhode Island","Wyoming",23,47
"South Carolina","Wyoming",632,647
"South Dakota","Wyoming",1310,880
"Tennessee","Wyoming",131,214
"Texas","Wyoming",2500,1485
"Utah","Wyoming",1058,609
"Vermont","Wyoming",38,62
"Virginia","Wyoming",190,274
"Washington","Wyoming",1507,870
"West Virginia","Wyoming",0,184
"Wisconsin","Wyoming",14,23
"Wyoming","Wyoming","N/A","N/A"
"Puerto Rico","Wyoming",0,210
"Alabama","Puerto Rico",14817,2811
"Alaska","Puerto Rico",4741,1264
"Arizona","Puerto Rico",43562,6373
"Arkansas","Puerto Rico",9210,3170
"California","Puerto Rico",269772,16003
"Colorado","Puerto Rico",35044,5809
"Connecticut","Puerto Rico",20786,4003
"Delaware","Puerto Rico",4705,1519
"District of Columbia ","Puerto Rico",7364,1786
"Florida","Puerto Rico",168928,14572
"Georgia","Puerto Rico",43925,5368
"Hawaii","Puerto Rico",16589,3678
"Idaho","Puerto Rico",6337,1846
"Illinois","Puerto Rico",71817,6607
"Indiana","Puerto Rico",21440,4553
"Iowa","Puerto Rico",13446,2997
"Kansas","Puerto Rico",15129,2288
"Kentucky","Puerto Rico",14293,2809
"Louisiana","Puerto Rico",15682,2868
"Maine","Puerto Rico",4549,1726
"Maryland","Puerto Rico",42761,5926
"Massachusetts","Puerto Rico",60018,5394
"Michigan","Puerto Rico",43732,5321
"Minnesota","Puerto Rico",24662,3040
"Mississippi","Puerto Rico",7540,2070
"Missouri","Puerto Rico",24371,3772
"Montana","Puerto Rico",3059,1062
"Nebraska","Puerto Rico",6596,1476
"Nevada","Puerto Rico",13006,2756
"New Hampshire","Puerto Rico",5313,1388
"New Jersey","Puerto Rico",60717,5750
"New Mexico","Puerto Rico",11532,2620
"New York","Puerto Rico",155111,10586
"North Carolina","Puerto Rico",43373,5356
"North Dakota","Puerto Rico",2908,1066
"Ohio","Puerto Rico",37091,4223
"Oklahoma","Puerto Rico",16281,3206
"Oregon","Puerto Rico",23355,4384
"Pennsylvania","Puerto Rico",52554,5764
"Rhode Island","Puerto Rico",7778,1837
"South Carolina","Puerto Rico",20165,6013
"South Dakota","Puerto Rico",3578,1550
"Tennessee","Puerto Rico",24963,4567
"Texas","Puerto Rico",179263,13868
"Utah","Puerto Rico",14465,2475
"Vermont","Puerto Rico",2868,803
"Virginia","Puerto Rico",60051,6990
"Washington","Puerto Rico",54973,5730
"West Virginia","Puerto Rico",5174,1423
"Wisconsin","Puerto Rico",15601,2441
"Wyoming","Puerto Rico",1282,1155
"Puerto Rico","Puerto Rico",4681,2095
